trial,duration,answer,correct,distractor count,distractor chance
1,5.001223,1,0,4,0
2,3.500396,1,1,4,0
3,3.68961,1,1,6,0
4,3.800772,1,1,8,0
5,4.022593,0,0,8,0
6,3.622665,1,1,8,0
7,3.955467,0,0,6,0
8,4.290386,1,1,10,0
9,4.051224,1,1,4,0
10,3.998493,0,0,6,0
11,5.122284,0,0,6,0
12,4.000153,0,0,6,0
13,3.700783,1,1,2,0
14,4.211319,1,0,10,0
15,3.857887,1,1,2,0
16,4.111671,1,1,4,0
17,3.833755,1,1,6,0
18,3.966171,0,0,6,0
19,3.633942,1,1,6,0
20,3.924088,0,0,2,0
21,4.41082,0,0,2,0
22,3.533012,1,1,2,0
23,3.978966,1,1,2,0
24,5.923347,1,0,10,0
25,3.96817,1,1,6,0
26,3.665878,1,1,2,0
27,6.311813,1,1,10,0
28,3.956451,0,1,10,0
29,3.788223,1,1,6,0
30,4.324692,1,1,6,0
31,4.14241,1,1,2,0
32,3.968628,0,0,10,0
33,3.899399,1,1,10,0
34,3.836868,0,0,4,0
35,4.112625,1,1,10,0
36,3.733215,1,1,6,0
37,3.933167,1,1,2,0
38,3.855789,1,1,10,0
39,3.888336,1,1,8,0
40,3.824432,1,1,6,0
41,3.745743,1,1,6,0
42,3.756409,0,0,8,0
43,3.983276,0,0,4,0
44,4.367325,0,1,4,0
45,4.046478,1,1,10,0
46,4.078064,0,0,2,0
47,4.322891,0,1,6,0
48,4.444,1,1,2,0
49,4.065247,0,0,10,0
50,3.811981,0,1,4,0
